ZIP,Date,Datatype,Value,Station
07307,2019-01-26T00:00:00,TMIN,24.0,GHCND:USW00094728
07307,2019-01-27T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-01-27T00:00:00,TMAX,49.0,GHCND:USW00094728
07307,2019-01-27T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-01-28T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-01-28T00:00:00,TMAX,38.0,GHCND:USW00094728
07307,2019-01-28T00:00:00,TMIN,25.0,GHCND:USW00094728
07307,2019-01-29T00:00:00,PRCP,0.23,GHCND:USW00094728
07307,2019-01-29T00:00:00,TMAX,43.0,GHCND:USW00094728
07307,2019-01-29T00:00:00,TMIN,25.0,GHCND:USW00094728
07307,2019-01-30T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-01-30T00:00:00,TMAX,35.0,GHCND:USW00094728
07307,2019-01-30T00:00:00,TMIN,6.0,GHCND:USW00094728
07307,2019-01-31T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-01-31T00:00:00,TMAX,16.0,GHCND:USW00094728
07307,2019-01-31T00:00:00,TMIN,2.0,GHCND:USW00094728
07307,2019-02-01T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-01T00:00:00,TMAX,21.0,GHCND:USW00094728
07307,2019-02-01T00:00:00,TMIN,11.0,GHCND:USW00094728
07307,2019-02-02T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-02T00:00:00,TMAX,34.0,GHCND:USW00094728
07307,2019-02-02T00:00:00,TMIN,16.0,GHCND:USW00094728
07307,2019-02-03T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-03T00:00:00,TMAX,53.0,GHCND:USW00094728
07307,2019-02-03T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-02-04T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-04T00:00:00,TMAX,61.0,GHCND:USW00094728
07307,2019-02-04T00:00:00,TMIN,41.0,GHCND:USW00094728
07307,2019-02-05T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-02-05T00:00:00,TMAX,65.0,GHCND:USW00094728
