zipcode,latitude,longitude,zipcode
62554,39.9324356,-88.8580626,62554
62624,40.1870616,-90.3526563,62624
51559,41.4798841,-95.6691721,51559
62631,39.8262235,-90.3593365,62631
51465,42.077678,-95.1940548,51465
62651,39.8454863,-89.5355085,62651
62431,39.2184776,-88.9824374,62431
62249,38.7508061,-89.6704084,62249
46732,41.3882896,-85.6344182,46732
62052,39.1046567,-90.3203496,62052
47465,39.0330643,-87.0504794,47465
47470,38.818598,-86.636657,47470
68446,40.6602591,-96.1967697,68446
47520,37.928903,-86.6824638,47520
68354,40.6354562,-97.5840946,68354
47531,38.050982,-86.8414872,47531
68331,40.4972114,-96.6950918,68331
47581,38.6689438,-86.7933363,47581
47598,38.3841583,-87.213523,47598
56364,45.9920521,-94.0818322,56364
47612,38.1859566,-87.7057619,47612
56312,45.4565019,-94.9715974,56312
68649,41.485041,-96.7373696,68649
47619,38.1944535,-87.3015897,47619
56241,44.8058468,-95.5437347,56241
47640,38.4897434,-87.519786,47640
56208,45.2119985,-96.0134824,56208
47837,39.5889826,-87.1112747,47837
56009,43.6668958,-93.5604271,56009
47861,39.0461786,-87.5508185,47861
47920,40.5127657,-86.8370985,47920
55952,43.98313,-91.8680583,55952
47921,40.475683,-87.3648447,47921
55057,44.4772044,-93.173307,55057
47928,39.9462444,-87.4762632,47928
52738,41.268238,-91.3713731,52738
47631,38.1167041,-87.922809,47631
47456,39.4910689,-86.6904007,47456
47433,39.3353742,-86.6506612,47433
68652,41.862042,-98.076938,68652
46755,41.4480782,-85.2609966,46755
61951,39.5919027,-88.5989538,61951
46776,41.731424,-85.1613404,46776
61529,40.7851899,-89.9566407,61529
46819,41.0031926,-85.1504403,46819
47010,39.4965927,-84.8327521,47010
61473,40.7093273,-90.6468986,61473
47036,39.3629173,-85.2175728,47036
61014,41.9869821,-89.8689034,61014
47060,39.2803507,-84.8811144,47060
47111,38.4427038,-85.6856913,47111
60964,41.0906875,-87.7181626,60964
47163,38.530636,-85.6746327,47163
60921,40.7387487,-88.3070325,60921
47230,38.7979991,-85.6193186,47230
60424,41.1725614,-88.3079537,60424
47243,38.6961629,-85.4735907,47243
69150,40.8879781,-101.5372756,69150
47244,39.2212748,-85.6694021,47244
47272,39.4201602,-85.6121775,47272
68933,40.5197658,-98.0740239,68933
47281,38.7998917,-86.0892157,47281
68720,42.337218,-97.990103,68720
47369,40.4955229,-85.1449415,47369
47393,39.9540983,-85.0124945,47393
68661,41.4557244,-97.0585548,68661
47403,39.1389588,-86.5688009,47403
68122,41.3319207,-96.0408069,68122
56285,44.7753826,-95.365448,56285
68347,40.7828396,-96.4095152,68347
68417,40.7248585,-96.0934399,68417
60510,41.8456125,-88.3186686,60510
60523,41.8401604,-87.9554402,60523
47946,40.980388,-86.8992765,47946
60544,41.6228436,-88.234384,60544
62347,39.8721302,-91.0951167,62347
60554,41.7758425,-88.4472522,60554
60618,41.9452359,-87.7004801,60618
61957,39.4400423,-88.5949334,61957
60958,41.0678965,-87.5820651,60958
61064,41.9822852,-89.5767495,61064
60973,40.5304339,-87.6821976,60973
61032,42.299813,-89.6352629,61032
50451,43.3488505,-94.0924782,50451
61001,42.4471843,-90.1407587,61001
60450,41.373821,-88.4282995,60450
61016,42.2220707,-88.9665683,61016
61025,42.4874342,-90.616424,61025
45380,40.2314207,-84.5024614,45380
61073,42.4147864,-89.0038224,61073
69120,41.4233409,-100.1973969,69120
61080,42.4841682,-89.0329372,61080
61103,42.3003994,-89.080983,61103
68956,40.6198873,-98.6576919,68956
61233,41.293503,-90.292174,61233
61241,41.4809987,-90.3337838,61241
68843,40.8961929,-97.887658,68843
61007,42.1819797,-89.5800075,61007
61265,41.4879512,-90.497192,61265
60467,41.5975371,-87.8552687,60467
60449,41.4322158,-87.7725797,60449
45334,40.4340045,-84.087282,45334
45340,40.3579603,-84.0557537,45340
52556,41.005024,-91.949667,52556
45363,40.2320909,-84.3891589,45363
52306,41.8902135,-91.2621897,52306
45612,39.2041685,-83.2573486,45612
45697,38.9270745,-83.6727037,45697
52224,42.1518736,-92.3120383,52224
45701,39.3187929,-82.1003767,45701
52216,41.8866452,-91.0430399,52216
45806,40.6776295,-84.135835,45806
45835,40.7709647,-83.6869616,45835
50540,42.5974308,-94.7953859,50540
51563,41.5828435,-95.6094851,51563
51351,43.3326849,-95.1346732,51351
45868,40.9568673,-83.8278497,45868
45881,40.9518554,-83.7830522,45881
51241,43.4404708,-96.4163147,51241
60099,42.4465472,-87.8508641,60099
51046,42.9580176,-95.6708618,51046
60144,41.8354507,-88.521259,60144
50627,42.3533402,-93.0931621,50627
60188,41.9184567,-88.1368222,60188
60408,41.2658926,-88.2202049,60408
50606,42.7376206,-91.6699458,50606
60437,41.195184,-88.539246,60437
45841,40.8766938,-83.7298934,45841
56011,44.6212018,-93.7697001,56011
68658,41.1972698,-97.2853886,68658
61353,41.6878402,-88.9819061,61353
50452,42.7469406,-93.3501427,50452
62297,38.0188518,-89.8070094,62297
50276,41.8358641,-93.9198078,50276
62301,39.9280664,-91.3749404,62301
62325,40.0322603,-91.1716559,62325
50273,41.3354946,-94.0234852,50273
62375,39.9877319,-90.8563356,62375
62444,39.275625,-88.74337,62444
50251,41.5653061,-92.8562775,50251
62459,38.9298418,-88.0249865,62459
50249,42.2598093,-93.8861672,50249
62536,39.6528539,-89.6507517,62536
62286,38.1218739,-89.7112783,62286
62625,39.9166131,-89.6945973,62625
62639,40.058549,-90.481351,62639
50050,42.1491894,-94.494303,50050
62830,38.437843,-88.9577603,62830
62846,38.1503635,-88.8920807,62846
50010,42.0281928,-93.6156241,50010
62851,38.4657656,-88.7114924,62851
62862,38.2310862,-88.31485,62862
47993,40.3025141,-87.3686298,47993
62878,38.57505,-88.472853,62878
47963,40.9319627,-87.4462343,47963
62887,38.1676847,-88.3436079,62887
46978,40.8493298,-86.5068754,46978
50122,42.3051885,-93.3054419,50122
61337,41.4230605,-89.355789,61337
62269,38.5883482,-89.9154093,62269
62238,38.0382532,-89.5644936,62238
68643,41.7514562,-97.2628603,68643
61442,41.1100886,-90.9217027,61442
56560,46.8360795,-96.7562824,56560
61479,40.9870232,-89.6523934,61479
56236,45.9752154,-95.7673954,56236
61486,41.1724477,-90.5872501,61486
61488,41.0247328,-90.2954462,61488
56201,45.1156187,-95.0436267,56201
61729,40.6193003,-89.2071658,61729
56176,43.7637521,-94.7210081,56176
61851,39.9828004,-88.4386992,61851
56171,43.659596,-94.7408769,56171
50466,43.3679969,-92.5653466,50466
61852,39.896964,-88.063618,61852
61858,40.1212049,-87.7638664,61858
61874,40.0580681,-88.2502243,61874
55946,44.2709598,-92.9569792,55946
62022,38.9954583,-90.3285834,62022
52342,42.0110673,-92.570115,52342
62027,39.2875154,-90.5532675,62027
52302,42.0445715,-91.5913304,52302
62034,38.7627663,-89.9654969,62034
62040,38.7247476,-90.111026,62040
51248,43.1678088,-95.6697011,51248
62215,38.523911,-89.6157733,62215
50677,42.7317217,-92.4595796,50677
56036,43.557067,-93.2748624,56036
45333,40.2514253,-84.3281909,45333
56065,43.9290363,-93.9546816,56065
45325,39.6820993,-84.4240318,45325
68045,41.806112,-96.4801313,68045
69141,41.315807,-102.956473,69141
56334,45.6235216,-95.3736784,56334
